probability_success,mcse_success,approach,drift_pct,reduction,n_sim,n_per_arm,effect_shape,day3_day5_correlation,treatment_prior_sd,posterior_cutoff,decision_rule
0.8247,0.002688586152608839,Power prior a0 = 0.6,0,0.2,20000,40,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
0.04975,0.0015374481698580932,No historical mean borrowing (primary),10,0,20000,40,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
0.0377,0.0013468242275813129,Robust mixture (10%; ESS cap 5),10,0,20000,40,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
0.04045,0.0013930864563981664,Switch-commensurate (ESS cap 5),10,0,20000,40,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
0.0366,0.0013277883867544558,Power prior a0 = 0.2,10,0,20000,40,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
0.02725,0.001151247964167581,Power prior a0 = 0.4,10,0,20000,40,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
0.02155,0.0010267813180030107,Power prior a0 = 0.6,10,0,20000,40,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
0.74945,0.003064104253285126,No historical mean borrowing (primary),10,0.2,20000,40,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
0.7464,0.0030764186971217037,Robust mixture (10%; ESS cap 5),10,0.2,20000,40,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
0.74685,0.003074614427046097,Switch-commensurate (ESS cap 5),10,0.2,20000,40,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
0.74615,0.003077419190653103,Power prior a0 = 0.2,10,0.2,20000,40,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
0.7426,0.003091482168798649,Power prior a0 = 0.4,10,0.2,20000,40,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
0.73875,0.0031064323387126913,Power prior a0 = 0.6,10,0.2,20000,40,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
0.0486,0.0015204939986727998,No historical mean borrowing (primary),20,0,20000,40,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
0.0325,0.0012538690122975366,Robust mixture (10%; ESS cap 5),20,0,20000,40,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
0.0363,0.001322541303702837,Switch-commensurate (ESS cap 5),20,0,20000,40,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
0.02985,0.0012033074731754973,Power prior a0 = 0.2,20,0,20000,40,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
0.0177,9.323816278756248e-4,Power prior a0 = 0.4,20,0,20000,40,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
0.0116,7.571472776151282e-4,Power prior a0 = 0.6,20,0,20000,40,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
0.74155,0.0030955903919931004,No historical mean borrowing (primary),20,0.2,20000,40,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
0.7107,0.0032062868711330247,Robust mixture (10%; ESS cap 5),20,0.2,20000,40,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
0.71935,0.0031771494889287154,Switch-commensurate (ESS cap 5),20,0.2,20000,40,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
0.70545,0.003223277039753176,Power prior a0 = 0.2,20,0.2,20000,40,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
0.6727,0.003317941455179702,Power prior a0 = 0.4,20,0.2,20000,40,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
0.6416,0.003390792237811099,Power prior a0 = 0.6,20,0.2,20000,40,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
