drift_pct,reduction,probability_success_Concurrent controls,"probability_success_Robust mixture: 10%, ESS <= 5",mcse_success_Concurrent controls,"mcse_success_Robust mixture: 10%, ESS <= 5",absolute_difference
-20,0,0.0494,0.059,0.0015323126312864485,0.0016661182431028118,0.009599999999999997
-20,0.2,0.8098,0.8307,0.0027751032413227445,0.0026517683722376657,0.02090000000000003
0,0,0.05305,0.0505,0.0015848611532244708,0.0015483822202544178,-0.0025499999999999967
0,0.2,0.8093,0.82015,0.0027778904766027042,0.002715731738408637,0.010850000000000026
20,0,0.0526,0.0436,0.0015784999208108945,0.0014439362866830378,-0.009000000000000001
20,0.2,0.8085,0.791,0.0027823349007623076,0.00287505652118354,-0.01749999999999996
